Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
389470,KR7389470006,인벤티지랩,KOSDAQ,기술성장기업부,23750,1,1050,4.63,22500,26150,21450,3682391,88859184600,199631955000,8405556,KSQ
322310,KR7322310004,오로스테크놀로지,KOSDAQ,벤처기업부,21200,2,-550,-2.53,21750,22500,21100,81655,1766468700,199507344600,9366542,KSQ
003160,KR7003160009,디아이,KOSPI,,7150,2,-130,-1.79,7280,7520,7000,117668,839528640,199232000000,28300000,STK
027710,KR7027710003,팜스토리,KOSDAQ,우량기업부,1784,2,-66,-3.57,1846,1846,1760,1038411,1864869213,199101464200,111416600,KSQ
010955,KR7010951002,S-Oil우,KOSPI,,49400,2,-900,-1.79,49800,49900,49050,18071,890258400,198683193800,4021927,STK
015360,KR7015360001,예스코홀딩스,KOSPI,,33100,2,-50,-0.15,32550,33650,32350,7378,242617900,198600000000,6000000,STK
104480,KR7104480009,티케이케미칼,KOSDAQ,우량기업부,2165,2,-55,-2.48,2175,2220,2150,545234,1179944575,198152046120,90895434,KSQ
205100,KR7205100001,엑셈,KOSDAQ,벤처기업부,5430,1,190,3.63,5310,5980,5300,14999937,85299407360,197919565120,36382273,KSQ
290690,KR7290690007,소룩스,KOSDAQ,벤처기업부,20250,1,150,0.75,19750,20900,19450,228849,4619649360,197762512500,9766050,KSQ
110990,KR7110990009,디아이티,KOSDAQ,우량기업부,10450,2,-80,-0.76,10360,10530,9940,172613,1761717990,197694000000,18900000,KSQ
043370,KR7043370006,피에이치에이,KOSDAQ,우량기업부,9400,3,0,0.0,9750,9750,9400,81814,780291680,197610000000,21000000,KSQ
172670,KR7172670002,에이엘티,KOSDAQ,벤처기업부,22000,2,-1050,-4.56,22500,24250,21950,423890,9796674300,197573710950,8960259,KSQ
234920,KR7234920007,자이글,KOSDAQ,벤처기업부,14600,2,-60,-0.41,14550,15270,14240,78953,1166580030,197551286000,13530910,KSQ
009155,KR7009151002,삼성전기우,KOSPI,,67700,2,-1600,-2.31,69000,69000,67500,5006,340392800,197384213600,2906984,STK
117580,KR7117580001,대성에너지,KOSPI,,7120,2,-330,-4.43,7320,7320,7100,116790,839442980,196900000000,27500000,STK
222810,KR7222810004,세토피아,KOSDAQ,중견기업부,2645,2,-130,-4.68,2705,2760,2610,641110,1701016345,196664356830,74353254,KSQ
095570,KR7095570008,AJ네트웍스,KOSPI,,4185,2,-150,-3.46,4200,4270,4170,85065,357302445,196653639000,46822295,STK
007160,KR7007160005,사조산업,KOSPI,,39700,2,-50,-0.13,39250,39700,39100,4710,184883900,196500000000,5000000,STK
001360,KR7001360007,삼성제약,KOSPI,,2905,2,-80,-2.68,2975,2980,2880,243854,711176780,196113270680,67162079,STK
388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,21900,2,-1600,-6.81,22900,23250,21800,96873,2153491250,195291935100,8937846,KSQ
388870,KR7388870008,파로스아이바이오,KOSDAQ,기술성장기업부,15290,1,950,6.62,14240,16200,14100,1820382,27573296630,195205515820,12918962,KSQ
033530,KR7033530007,세종공업,KOSPI,,6920,2,-470,-6.36,7320,7460,6860,208674,1470092290,194746727000,27820961,STK
339770,KR7339770000,교촌에프앤비,KOSPI,,7800,2,-290,-3.58,7900,8090,7790,21282,166615740,194613986600,24982540,STK
314130,KR7314130006,지놈앤컴퍼니,KOSDAQ,기술성장기업부,13790,2,-730,-5.03,14480,14480,13300,60326,835270020,194473764590,14102521,KSQ
