Date,Open,High,Low,Close,Volume
2022-04-13,414000,431500,404000,431000,386194
2022-04-14,434000,441000,427500,441000,321259
2022-04-15,435500,445000,431500,435000,307347
2022-04-18,434000,439500,432500,433000,115652
2022-04-19,438000,441500,434000,435500,124432
2022-04-20,437500,438000,432000,436500,202657
2022-04-21,437500,440000,434500,437000,234128
2022-04-22,434000,437500,428500,436500,266806
2022-04-25,430000,436000,428500,433000,254452
2022-04-26,432000,432000,414500,423500,520529
2022-04-27,399500,427000,397000,418000,1478354
2022-04-28,420500,421000,412500,417500,358325
2022-04-29,418000,426000,414000,417000,332582
2022-05-02,412500,414500,407000,408500,365546
2022-05-03,409500,415000,406500,407500,254850
2022-05-04,409500,410500,399500,401500,364195
2022-05-06,395000,401500,390000,401500,350875
2022-05-09,397000,400000,390000,394000,289113
2022-05-10,387500,398500,382000,393500,407928
2022-05-11,394000,398000,391500,391500,239355
2022-05-12,390000,395500,386000,388000,251570
2022-05-13,390500,401500,390500,400500,228636
2022-05-16,407000,407500,397000,400500,200731
2022-05-17,400500,411000,399000,408500,230327
2022-05-18,410000,413000,407500,410000,233063
2022-05-19,398500,417000,398500,415500,320709
2022-05-20,421000,439000,418000,434000,881979
2022-05-23,438500,444000,432500,438000,361437
2022-05-24,438500,444000,436500,438500,350284
2022-05-25,439000,439000,422000,426500,365195
2022-05-26,426500,432500,424500,430500,162583
2022-05-27,434500,437000,427500,430500,214801
2022-05-30,434500,440000,432000,439500,229834
2022-05-31,441500,444000,436000,444000,345830
2022-06-02,440500,442000,438000,440500,153596
2022-06-03,443500,444000,437500,437500,154981
2022-06-07,436500,439500,432000,432000,180249
2022-06-08,432500,434500,422500,425500,215828
2022-06-09,426000,426000,419000,422500,208712
2022-06-10,418000,426000,412500,425000,285077
2022-06-13,414000,420500,413500,415000,267003
2022-06-14,411000,432500,410500,426500,417106
2022-06-15,426000,427500,417000,420000,275832
2022-06-16,424500,439500,424500,427000,365836
2022-06-17,419500,430000,417000,425500,1211937
2022-06-20,426500,427000,408500,411500,285056
2022-06-21,414500,416500,406000,413000,204026
2022-06-22,415000,416500,401000,401000,210875
2022-06-23,401000,404500,391000,400000,298719
2022-06-24,399000,405000,398000,405000,235758
2022-06-27,408500,414500,403500,412000,206869
2022-06-28,412000,415000,406500,410500,129697
2022-06-29,402000,403500,391500,391500,327192
2022-06-30,388500,389000,370500,371000,459845
2022-07-01,371000,371500,356000,356500,434833
2022-07-04,356500,361000,352000,356000,161015
2022-07-05,356500,362500,356000,361500,219192
2022-07-06,367500,374500,364000,370500,393886
2022-07-07,374500,375000,367500,373500,223247
2022-07-08,375000,392500,375000,388000,397140
2022-07-11,389000,402000,380500,395000,345052
2022-07-12,393000,403000,387500,401000,324262
2022-07-13,398500,404000,392000,400000,223258
2022-07-14,400000,404000,399000,399500,197883
2022-07-15,401500,402000,394000,400000,146816
2022-07-18,400000,400500,387000,393000,233929
2022-07-19,391500,393500,382500,383000,205688
2022-07-20,387000,389500,383500,384000,181936
2022-07-21,385000,390500,384500,390500,185937
2022-07-22,391500,392500,382000,382000,300672
2022-07-25,376000,393500,371000,391000,653865
2022-07-26,388000,409500,386500,394000,691524
2022-07-27,383000,397000,382500,393500,2624439
2022-07-28,396000,419000,393500,415500,1654973
2022-07-29,416000,423000,411000,422000,721315
2022-08-01,420000,428000,416500,419500,370740
2022-08-02,420000,424000,413000,417000,282849
2022-08-03,416000,437000,415500,437000,733137
2022-08-04,444500,446500,438500,443000,573214
2022-08-05,443500,449000,440500,446000,409770
2022-08-08,443000,448500,440500,447000,256471
2022-08-09,448000,458500,444000,457500,593954
2022-08-10,455500,459500,452500,458000,280484
2022-08-11,462000,474000,461000,472000,641654
2022-08-12,469000,473000,455500,460500,430857
2022-08-16,464500,469500,458500,460500,327692
2022-08-17,461000,461500,450000,453500,343740
2022-08-18,450000,455000,445000,452000,255728
2022-08-19,452500,455000,445500,447000,225884
